,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,function,filename,direc,line,short_name,execution_id,execution_name,tottime_perc,cumtime_perc
0,1.0,0.002,0.002,370.61,370.61,main,D,,59,main:59(D),0,exec8-N200,0.0005397032711415263,100.00971465888054
1,1.0,0.079,0.079,370.529,370.529,GR_algorithm,D,,463,GR_algorithm:463(D),0,exec8-N200,0.021318279210090288,99.9878566763993
2,1.0,0.004,0.004,309.842,309.842,library_matrix,D,,638,library_matrix:638(D),0,exec8-N200,0.0010794065422830526,83.61137046851638
3,1.0,0.0,0.0,203.616,203.616,get_net_coeff,D,,550,get_net_coeff:550(D),0,exec8-N200,0.0,54.94611062837651
4,1.0,0.043,0.043,203.616,203.616,get_matrix_change_of_basis,D,,522,get_matrix_change_of_basis:522(D),0,exec8-N200,0.011603620329542813,54.94611062837651
5,1201.0,3.04,0.003,203.573,0.17,get_coeff_matrix_wrt_basis,D,,481,get_coeff_matrix_wrt_basis:481(D),0,exec8-N200,0.8203489721351199,54.934507008046964
6,1440000.0,0.841,0.0,191.651,0.0,has,C,,1193,has:1193(C),0,exec8-N200,0.22694522551501178,51.71733580877233
7,2987273/1509433,4.951,0.0,191.087,0.0,any,['builtins'],,,builtins.any,0,exec8-N200,1.3360354477108483,51.56513948631042
8,2880000.0,1.064,0.0,190.072,0.0,<genexpr>,C,,1240,<genexpr>:1240(C),0,exec8-N200,0.28712214024729205,51.291240076206094
9,1440000.0,5.444,0.0,189.009,0.0,_has,C,,1242,_has:1242(C),0,exec8-N200,1.4690723040472344,51.00438778759436
10,29237000.0,14.979,0.0,175.845,0.0,<genexpr>,C,,1257,<genexpr>:1257(C),0,exec8-N200,4.042107649214461,47.45206085694085
11,1.0,0.0,0.0,100.71,100.71,spy_fourier_orthonormal,D,,446,spy_fourier_orthonormal:446(D),0,exec8-N200,0.0,27.176758218331553
12,7.0,0.001,0.0,100.704,14.386,spy_gramschmt_fourier,D,,339,spy_gramschmt_fourier:339(D),0,exec8-N200,0.00026985163557076316,27.17513910851813
13,28.0,0.0,0.0,100.43,3.587,l2_inner_product,D,,93,l2_inner_product:93(D),0,exec8-N200,0.0,27.101199760371745
14,28.0,0.0,0.0,100.43,3.587,quad,C,,49,quad:49(C),0,exec8-N200,0.0,27.101199760371745
15,28.0,0.0,0.0,100.43,3.587,_quad,C,,445,_quad:445(C),0,exec8-N200,0.0,27.101199760371745
16,28.0,0.045,0.002,100.43,3.587,_qagse,"['scipy', 'integrate', '_quadpack']",,,scipy.integrate._quadpack._qagse,0,exec8-N200,0.01214332360068434,27.101199760371745
17,18186.0,0.352,0.0,100.385,0.006,<lambda>,D,,118,<lambda>:118(D),0,exec8-N200,0.09498777572090862,27.08905643677106
18,18186.0,96.624,0.005,99.879,0.005,evaluate,C,,208,evaluate:208(C),0,exec8-N200,26.074144435389417,26.952511509172254
19,27797000.0,9.664,0.0,89.884,0.0,<lambda>,C,,1263,<lambda>:1263(C),0,exec8-N200,2.607846206155855,24.255344411642472
20,30876359/27964601,36.346,0.0,80.838,0.0,__eq__,C,,124,__eq__:124(C),0,exec8-N200,9.808027546454955,21.81426651626935
21,29233484.0,7.216,0.0,70.984,0.0,__next__,C,,2056,__next__:2056(C),0,exec8-N200,1.9472494022786269,19.15514849935505
