,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,function,filename,direc,line,short_name,execution_id,execution_name,tottime_perc,cumtime_perc
0,1.0,0.001,0.001,102.982,102.982,main,D,,40,main:40(D),0,exec5-N100,0.0009714491106383393,100.04177231175746
1,1.0,0.016,0.016,102.932,102.932,GR_algorithm,D,,463,GR_algorithm:463(D),0,exec5-N100,0.015543185770213429,99.99319985622554
2,1.0,0.001,0.001,88.231,88.231,library_matrix,D,,638,library_matrix:638(D),0,exec5-N100,0.0009714491106383393,85.71192648073131
3,1.0,0.0,0.0,51.875,51.875,get_net_coeff,D,,550,get_net_coeff:550(D),0,exec5-N100,0.0,50.39392261436385
4,1.0,0.011,0.011,51.875,51.875,get_matrix_change_of_basis,D,,522,get_matrix_change_of_basis:522(D),0,exec5-N100,0.01068594021702173,50.39392261436385
5,601.0,0.769,0.001,51.864,0.086,get_coeff_matrix_wrt_basis,D,,481,get_coeff_matrix_wrt_basis:481(D),0,exec5-N100,0.7470443660808829,50.38323667414682
6,360000.0,0.212,0.0,47.219,0.0,has,C,,1193,has:1193(C),0,exec5-N100,0.20594721145532793,45.87085555523174
7,770595/391675,1.218,0.0,47.139,0.0,any,['builtins'],,,builtins.any,0,exec5-N100,1.1832250167574971,45.79313962638068
8,720000.0,0.256,0.0,46.826,0.0,<genexpr>,C,,1240,<genexpr>:1240(C),0,exec5-N100,0.24869097232341486,45.489076054750875
9,360000.0,1.344,0.0,46.57,0.0,_has,C,,1242,_has:1242(C),0,exec5-N100,1.305627604697928,45.24038508242746
10,7298500.0,3.702,0.0,43.342,0.0,<genexpr>,C,,1257,<genexpr>:1257(C),0,exec5-N100,3.5963046075831318,42.1045473532869
11,1.0,0.0,0.0,33.993,33.993,spy_fourier_orthonormal,D,,446,spy_fourier_orthonormal:446(D),0,exec5-N100,0.0,33.02246961792907
12,7.0,0.001,0.0,33.99,4.856,spy_gramschmt_fourier,D,,339,spy_gramschmt_fourier:339(D),0,exec5-N100,0.0009714491106383393,33.01955527059716
13,28.0,0.0,0.0,33.721,1.204,l2_inner_product,D,,93,l2_inner_product:93(D),0,exec5-N100,0.0,32.75823545983543
14,28.0,0.0,0.0,33.721,1.204,quad,C,,49,quad:49(C),0,exec5-N100,0.0,32.75823545983543
15,28.0,0.0,0.0,33.721,1.204,_quad,C,,445,_quad:445(C),0,exec5-N100,0.0,32.75823545983543
16,28.0,0.029,0.001,33.721,1.204,_qagse,"['scipy', 'integrate', '_quadpack']",,,scipy.integrate._quadpack._qagse,0,exec5-N100,0.02817202420851184,32.75823545983543
17,18144.0,0.249,0.0,33.692,0.002,<lambda>,D,,118,<lambda>:118(D),0,exec5-N100,0.2418908285489465,32.730063435626924
18,18144.0,31.621,0.002,33.309,0.002,evaluate,C,,208,evaluate:208(C),0,exec5-N100,30.718192327494926,32.357998426252436
19,6938500.0,2.365,0.0,22.296,0.0,<lambda>,C,,1263,<lambda>:1263(C),0,exec5-N100,2.2974771466596726,21.659429370792413
20,7742235/7016635,9.162,0.0,20.21,0.0,__eq__,C,,124,__eq__:124(C),0,exec5-N100,8.900416751668464,19.63298652600084
21,7297084.0,1.757,0.0,17.347,0.0,__next__,C,,2056,__next__:2056(C),0,exec5-N100,1.7068360873915622,16.85172772224327
22,7299964.0,1.471,0.0,15.593,0.0,next,['builtins'],,,builtins.next,0,exec5-N100,1.4290016417489972,15.147805982183623
23,21.0,0.309,0.015,14.643,0.697,B_eps_algorithm,D,,205,B_eps_algorithm:205(D),0,exec5-N100,0.30017777518724686,14.224929327077202
24,29063562/7303384,11.406,0.0,14.122,0.0,_preorder_traversal,C,,2012,_preorder_traversal:2012(C),0,exec5-N100,11.080348555940898,13.718804340434627
25,240.0,0.014,0.0,13.662,0.057,l_1_optimization,D,,4,l_1_optimization:4(D),0,exec5-N100,0.01360028754893675,13.27193774954099
26,240.0,0.003,0.0,13.477,0.056,solve,C,,320,solve:320(C),0,exec5-N100,0.002914347331915018,13.092219664072898
27,240.0,0.003,0.0,13.474,0.056,_solve,C,,667,_solve:667(C),0,exec5-N100,0.002914347331915018,13.089305316740985
28,240.0,0.004,0.0,9.743,0.041,get_problem_data,C,,412,get_problem_data:412(C),0,exec5-N100,0.003885796442553357,9.46482868494934
29,240.0,0.006,0.0,9.555,0.04,apply,C,,53,apply:53(C),0,exec5-N100,0.005828694663830036,9.282196252149332
30,8215562.0,3.281,0.0,8.628,0.0,_sympify,C,,413,_sympify:413(C),0,exec5-N100,3.1873245320043915,8.381662926587591
