,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,function,filename,direc,line,short_name,execution_id,execution_name,tottime_perc,cumtime_perc
0,1.0,0.002,0.002,413.602,413.602,main,D,,59,main:59(D),0,exec7-N200,0.0004836244752674444,100.01402510978276
1,1.0,0.079,0.079,413.475,413.475,GR_algorithm,D,,463,GR_algorithm:463(D),0,exec7-N200,0.019103166773064055,99.98331495560329
2,1.0,0.005,0.005,357.034,357.034,library_matrix,D,,638,library_matrix:638(D),0,exec7-N200,0.001209061188168611,86.33519045131838
3,1.0,0.0,0.0,236.495,236.495,get_net_coeff,D,,550,get_net_coeff:550(D),0,exec7-N200,0.0,57.18738513918713
4,1.0,0.054,0.054,236.495,236.495,get_matrix_change_of_basis,D,,522,get_matrix_change_of_basis:522(D),0,exec7-N200,0.013057860832221,57.18738513918713
5,1201.0,4.474,0.004,236.441,0.197,get_coeff_matrix_wrt_basis,D,,481,get_coeff_matrix_wrt_basis:481(D),0,exec7-N200,1.0818679511732732,57.17432727835491
6,1440000.0,1.031,0.0,220.609,0.0,has,C,,1193,has:1193(C),0,exec7-N200,0.24930841700036757,53.34595593213783
7,2986378/1508634,5.758,0.0,219.916,0.0,any,['builtins'],,,builtins.any,0,exec7-N200,1.3923548642949726,53.17838005145765
8,2880000.0,1.315,0.0,218.724,0.0,<genexpr>,C,,1240,<genexpr>:1240(C),0,exec7-N200,0.3179830924883447,52.89013986419825
9,1440000.0,6.705,0.0,217.41,0.0,_has,C,,1242,_has:1242(C),0,exec7-N200,1.6213510533341073,52.572398583947546
10,29237400.0,16.9,0.0,201.606,0.0,<genexpr>,C,,1257,<genexpr>:1257(C),0,exec7-N200,4.086626816009905,48.7507979803842
11,1.0,0.0,0.0,113.764,113.764,spy_fourier_orthonormal,D,,446,spy_fourier_orthonormal:446(D),0,exec7-N200,0.0,27.50952740216277
12,7.0,0.001,0.0,113.751,16.25,spy_gramschmt_fourier,D,,339,spy_gramschmt_fourier:339(D),0,exec7-N200,0.0002418122376337222,27.506383843073536
13,28.0,0.0,0.0,113.405,4.05,l2_inner_product,D,,93,l2_inner_product:93(D),0,exec7-N200,0.0,27.422716808852265
14,28.0,0.0,0.0,113.405,4.05,quad,C,,49,quad:49(C),0,exec7-N200,0.0,27.422716808852265
15,28.0,0.0,0.0,113.405,4.05,_quad,C,,445,_quad:445(C),0,exec7-N200,0.0,27.422716808852265
