,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,function,filename,direc,line,short_name,execution_id,execution_name,tottime_perc,cumtime_perc
0,1.0,0.003,0.003,489.035,489.035,main,D,,59,main:59(D),0,exec4-N200,0.0006135044601774255,100.00838456095578
1,1.0,0.053,0.053,488.942,488.942,GR_algorithm,D,,463,GR_algorithm:463(D),0,exec4-N200,0.01083857879646785,99.98936592269027
2,1.0,0.004,0.004,362.813,362.813,library_matrix,D,,638,library_matrix:638(D),0,exec4-N200,0.0008180059469032341,74.19579790345075
3,1.0,0.0,0.0,237.932,237.932,get_net_coeff,D,,550,get_net_coeff:550(D),0,exec4-N200,0.0,48.657447739645065
4,1.0,0.052,0.052,237.932,237.932,get_matrix_change_of_basis,D,,522,get_matrix_change_of_basis:522(D),0,exec4-N200,0.010634077309742042,48.657447739645065
5,1201.0,4.256,0.004,237.881,0.198,get_coeff_matrix_wrt_basis,D,,481,get_coeff_matrix_wrt_basis:481(D),0,exec4-N200,0.870358327505041,48.647018163822054
6,1440000.0,1.029,0.0,222.387,0.0,has,C,,1193,has:1193(C),0,exec4-N200,0.21043202984085693,45.47847212849238
7,2985426/1507784,5.726,0.0,221.688,0.0,any,['builtins'],,,builtins.any,0,exec4-N200,1.1709755129919797,45.335525589271036
8,2880000.0,1.274,0.0,220.494,0.0,<genexpr>,C,,1240,<genexpr>:1240(C),0,exec4-N200,0.26053489408868,45.091350814120425
9,1440000.0,6.567,0.0,219.219,0.0,_has,C,,1242,_has:1242(C),0,exec4-N200,1.3429612633283845,44.83061141854501
10,29235800.0,17.224,0.0,203.671,0.0,<genexpr>,C,,1257,<genexpr>:1257(C),0,exec4-N200,3.5223336073653257,41.65102230293215
11,9.0,1.441,0.16,125.937,13.993,B_eps_algorithm,D,,205,B_eps_algorithm:205(D),0,exec4-N200,0.2946866423718901,25.75430373378815
12,414.0,0.031,0.0,120.657,0.291,l_1_optimization,D,,4,l_1_optimization:4(D),0,exec4-N200,0.006339546088500064,24.674535883875876
13,414.0,0.01,0.0,120.284,0.291,solve,C,,320,solve:320(C),0,exec4-N200,0.002045014867258085,24.598256829327152
14,414.0,0.006,0.0,120.273,0.291,_solve,C,,667,_solve:667(C),0,exec4-N200,0.001227008920354851,24.596007312973168
15,1.0,0.0,0.0,118.708,118.708,spy_fourier_orthonormal,D,,446,spy_fourier_orthonormal:446(D),0,exec4-N200,0.0,24.275962486247277
16,7.0,0.001,0.0,118.702,16.957,spy_gramschmt_fourier,D,,339,spy_gramschmt_fourier:339(D),0,exec4-N200,0.00020450148672580853,24.27473547732692
17,28.0,0.0,0.0,118.347,4.227,l2_inner_product,D,,93,l2_inner_product:93(D),0,exec4-N200,0.0,24.202137449539258
18,28.0,0.0,0.0,118.346,4.227,quad,C,,49,quad:49(C),0,exec4-N200,0.0,24.201932948052534
19,28.0,0.0,0.0,118.346,4.227,_quad,C,,445,_quad:445(C),0,exec4-N200,0.0,24.201932948052534
20,28.0,0.079,0.003,118.346,4.227,_qagse,"['scipy', 'integrate', '_quadpack']",,,scipy.integrate._quadpack._qagse,0,exec4-N200,0.016155617451338873,24.201932948052534
21,18060.0,0.578,0.0,118.267,0.007,<lambda>,D,,118,<lambda>:118(D),0,exec4-N200,0.11820185932751731,24.185777330601194
22,18060.0,112.081,0.006,117.464,0.007,evaluate,C,,208,evaluate:208(C),0,exec4-N200,22.920731133715343,24.021562636760372
23,27795800.0,11.227,0.0,104.791,0.0,<lambda>,C,,1263,<lambda>:1263(C),0,exec4-N200,2.2959381914706523,21.429915295484196
24,30875159/27963401,42.809,0.0,94.301,0.0,__eq__,C,,124,__eq__:124(C),0,exec4-N200,8.754504145245136,19.28469469973047
25,29232284.0,8.225,0.0,81.659,0.0,__next__,C,,2056,__next__:2056(C),0,exec4-N200,1.682024728319775,16.6993869045428
26,414.0,0.008,0.0,74.052,0.179,get_problem_data,C,,412,get_problem_data:412(C),0,exec4-N200,0.0016360118938064682,15.143744095019574
27,414.0,0.015,0.0,73.666,0.178,apply,C,,53,apply:53(C),0,exec4-N200,0.0030675223008871278,15.064806521143408
28,29237252.0,6.832,0.0,73.439,0.0,next,['builtins'],,,builtins.next,0,exec4-N200,1.3971541573107238,15.018384683656649
29,116437462/29244884,53.708,0.0,66.607,0.0,_preorder_traversal,C,,2012,_preorder_traversal:2012(C),0,exec4-N200,10.983365849069724,13.621230526345926
30,414.0,0.024,0.0,62.094,0.15,apply,C,,83,apply:83(C),0,exec4-N200,0.004908035681419404,12.698315316752353
31,414.0,3.565,0.009,57.234,0.138,apply_parameters,C,,144,apply_parameters:144(C),0,exec4-N200,0.7290478001775074,11.704438091264926
32,414.0,38.65,0.093,52.28,0.126,reduce_problem_data_tensor,C,,61,reduce_problem_data_tensor:61(C),0,exec4-N200,7.9039824619524985,10.691337726025269
33,414.0,0.002,0.0,46.006,0.111,solve_via_data,C,,289,solve_via_data:289(C),0,exec4-N200,0.00040900297345161706,9.408295398307546
34,414.0,0.006,0.0,46.004,0.111,solve_via_data,C,,129,solve_via_data:129(C),0,exec4-N200,0.001227008920354851,9.407886395334094
35,414.0,0.126,0.0,45.996,0.111,solve,C,,8,solve:8(C),0,exec4-N200,0.02576718732745187,9.40625038344029
36,414.0,45.868,0.111,45.868,0.111,csolve,['_ecos'],,,_ecos.csolve,0,exec4-N200,9.380074193139386,9.380074193139386
37,32555015.0,15.149,0.0,39.21,0.0,_sympify,C,,413,_sympify:413(C),0,exec4-N200,3.097993022409273,8.01850329451895
38,32650890/32650693,9.322,0.0,24.349,0.0,sympify,C,,90,sympify:90(C),0,exec4-N200,1.9063628592579867,4.979406700286711
39,34715148.0,11.894,0.0,15.278,0.0,getattr,['builtins'],,,builtins.getattr,0,exec4-N200,2.4323406831167667,3.1243737141969024
40,64348110.0,11.711,0.0,11.768,0.0,isinstance,['builtins'],,,builtins.isinstance,0,exec4-N200,2.3949169110459434,2.4065734957893143
41,414.0,0.015,0.0,11.183,0.027,apply,C,,291,apply:291(C),0,exec4-N200,0.0030675223008871278,2.2869401260547164
42,828.0,0.083,0.0,10.782,0.013,affine,C,,58,affine:58(C),0,exec4-N200,0.016973623398242106,2.2049350298776673
43,311076/268791,4.015,0.0,10.432,0.0,implement_array_function,"['numpy', 'core', '_multiarray_umath']",,,numpy.core._multiarray_umath.implement_array_function,0,exec4-N200,0.8210734692041212,2.1333595095236344
44,828.0,0.297,0.0,10.241,0.012,get_problem_matrix,C,,289,get_problem_matrix:289(C),0,exec4-N200,0.06073694155756512,2.094299725559005
45,414.0,9.828,0.024,9.828,0.024,<dictcomp>,C,,111,<dictcomp>:111(C),0,exec4-N200,2.009840611541246,2.009840611541246
46,4200.0,0.029,0.0,8.404,0.002,__new__,C,,141,__new__:141(C),0,exec4-N200,0.005930543115048447,1.7186304944436948
47,4200.0,0.015,0.0,8.186,0.002,_from_expr,C,,285,_from_expr:285(C),0,exec4-N200,0.0030675223008871278,1.6740491703374685
48,8400.0,0.108,0.0,7.385,0.001,_dict_from_expr,C,,345,_dict_from_expr:345(C),0,exec4-N200,0.02208616056638732,1.5102434794700959
49,1671600.0,2.044,0.0,7.302,0.0,_hashable_content,C,,257,_hashable_content:257(C),0,exec4-N200,0.41800103886755263,1.4932698560718538
50,14490/12834,0.164,0.0,5.582,0.0,__init__,C,,27,__init__:27(C),0,exec4-N200,0.033538243823032596,1.141527298903463
51,20627/18741,0.232,0.0,5.219,0.0,__new__,C,,28,__new__:28(C),0,exec4-N200,0.04744434492038758,1.0672932592219946
52,828.0,0.004,0.0,5.045,0.006,build_matrix,C,,1002,build_matrix:1002(C),0,exec4-N200,0.0008180059469032341,1.031710000531704
53,828.0,5.041,0.006,5.041,0.006,build_matrix,['_cvxcore'],,,_cvxcore.build_matrix,0,exec4-N200,1.0308919945848007,1.0308919945848007
54,28501366.0,4.825,0.0,4.825,0.0,args,C,,738,args:738(C),0,exec4-N200,0.986719673452026,0.986719673452026
55,1.0,0.004,0.004,4.51,4.51,get_N_base,D,,573,get_N_base:573(D),0,exec4-N200,0.0008180059469032341,0.9223017051333963
56,1671600.0,1.695,0.0,4.364,0.0,assumptions0,C,,266,assumptions0:266(C),0,exec4-N200,0.34663002000024545,0.8924444880714283
57,18140/18028,0.026,0.0,4.331,0.0,_func,C,,239,_func:239(C),0,exec4-N200,0.005317038654871021,0.8856959390094766
58,414.0,0.039,0.0,4.32,0.01,format_constraints,C,,129,format_constraints:129(C),0,exec4-N200,0.007975557982306532,0.8834464226554928
59,18140/18028,0.019,0.0,4.125,0.0,binary_op_wrapper,C,,120,binary_op_wrapper:120(C),0,exec4-N200,0.0038855282477903617,0.8435686327439601
60,15425/15313,0.359,0.0,3.907,0.0,flatten,C,,109,flatten:109(C),0,exec4-N200,0.07341603373456525,0.7989873086377339
61,4200.0,0.012,0.0,3.907,0.001,_dict_from_expr_no_gens,C,,311,_dict_from_expr_no_gens:311(C),0,exec4-N200,0.002454017840709702,0.7989873086377339
62,4200.0,0.255,0.0,3.895,0.001,_parallel_dict_from_expr_no_gens,C,,231,_parallel_dict_from_expr_no_gens:231(C),0,exec4-N200,0.05214787911508117,0.7965332907970241
63,1242.0,0.033,0.0,3.807,0.003,tocsc,C,,330,tocsc:330(C),0,exec4-N200,0.006748549061951681,0.778537159965153
64,2070.0,0.004,0.0,3.719,0.002,asformat,C,,294,asformat:294(C),0,exec4-N200,0.0008180059469032341,0.7605410291332818
65,28678861.0,3.616,0.0,3.62,0.0,hasattr,['builtins'],,,builtins.hasattr,0,exec4-N200,0.7394773760005237,0.7402953819474268
66,36329.0,0.078,0.0,3.488,0.0,dot,<__array_function__ internals>,,2,dot:2(<__array_function__ internals>),0,exec4-N200,0.015951115964613065,0.7133011856996201
67,2070.0,0.009,0.0,3.377,0.002,sum_duplicates,C,,1091,sum_duplicates:1091(C),0,exec4-N200,0.0018405133805322767,0.6906015206730552
