m dim,ECOS,SCS
1050,41.418,13.53
2050,79.371,24.878
3050,101.204,24.044
4050,113.671,43.397
5050,155.535,36.606
6050,163.762,58.189
7050,193.153,66.157
8050,240.662,74.675
9050,292.172,110.13
