,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,function,filename,direc,line,short_name,execution_id,execution_name,tottime_perc,cumtime_perc
0,1.0,0.005,0.005,32.94,32.94,main,D,,22,main:22(D),0,exec5-ECOS,0.015184184153785415,100.03340520513831
1,1.0,0.0,0.0,32.91,32.91,l_1_optimization,D,,4,l_1_optimization:4(D),0,exec5-ECOS,0.0,99.9423001002156
2,1.0,0.002,0.002,32.909,32.909,solve,C,,320,solve:320(C),0,exec5-ECOS,0.006073673661514167,99.93926326338485
3,1.0,0.0,0.0,32.907,32.907,_solve,C,,667,_solve:667(C),0,exec5-ECOS,0.0,99.93318958972333
4,1.0,0.0,0.0,28.857,28.857,solve_via_data,C,,289,solve_via_data:289(C),0,exec5-ECOS,0.0,87.63400042515714
5,1.0,0.0,0.0,28.857,28.857,solve_via_data,C,,129,solve_via_data:129(C),0,exec5-ECOS,0.0,87.63400042515714
6,1.0,0.0,0.0,28.857,28.857,solve,C,,8,solve:8(C),0,exec5-ECOS,0.0,87.63400042515714
7,1.0,28.857,28.857,28.857,28.857,csolve,['_ecos'],,,_ecos.csolve,0,exec5-ECOS,87.63400042515714,87.63400042515714
8,1.0,0.0,0.0,4.049,4.049,get_problem_data,C,,412,get_problem_data:412(C),0,exec5-ECOS,0.0,12.296152327735431
9,1.0,0.005,0.005,4.048,4.048,apply,C,,53,apply:53(C),0,exec5-ECOS,0.015184184153785415,12.293115490904674
10,1.0,0.005,0.005,2.679,2.679,apply,C,,83,apply:83(C),0,exec5-ECOS,0.015184184153785415,8.135685869598225
11,1.0,0.204,0.204,2.339,2.339,apply_parameters,C,,144,apply_parameters:144(C),0,exec5-ECOS,0.619514713474445,7.103161347140817
12,1.0,1.472,1.472,2.077,2.077,reduce_problem_data_tensor,C,,61,reduce_problem_data_tensor:61(C),0,exec5-ECOS,4.470223814874426,6.307510097482462
13,1.0,0.0,0.0,1.364,1.364,apply,C,,291,apply:291(C),0,exec5-ECOS,0.0,4.142245437152662
14,2.0,0.014,0.007,1.363,0.681,affine,C,,58,affine:58(C),0,exec5-ECOS,0.042515715630599166,4.139208600321904
15,2.0,0.044,0.022,1.348,0.674,get_problem_matrix,C,,289,get_problem_matrix:289(C),0,exec5-ECOS,0.13362082055331165,4.093656047860549
16,2.0,0.0,0.0,0.985,0.492,build_matrix,C,,1002,build_matrix:1002(C),0,exec5-ECOS,0.0,2.991284278295727
17,2.0,0.985,0.492,0.985,0.492,build_matrix,['_cvxcore'],,,_cvxcore.build_matrix,0,exec5-ECOS,2.991284278295727,2.991284278295727
18,1.0,0.495,0.495,0.495,0.495,<dictcomp>,C,,111,<dictcomp>:111(C),0,exec5-ECOS,1.5032342312247562,1.5032342312247562
19,1.0,0.01,0.01,0.307,0.307,format_constraints,C,,129,format_constraints:129(C),0,exec5-ECOS,0.03036836830757083,0.9323089070424246
20,49/38,0.002,0.0,0.265,0.007,__init__,C,,27,__init__:27(C),0,exec5-ECOS,0.006073673661514167,0.8047617601506272
21,11.0,0.0,0.0,0.241,0.022,asformat,C,,294,asformat:294(C),0,exec5-ECOS,0.0,0.731877676212457
22,6.0,0.0,0.0,0.204,0.034,tocsc,C,,330,tocsc:330(C),0,exec5-ECOS,0.0,0.619514713474445
23,7.0,0.0,0.0,0.188,0.027,sum_duplicates,C,,1084,sum_duplicates:1084(C),0,exec5-ECOS,0.0,0.5709253241823317
24,1.0,0.0,0.0,0.179,0.179,sort_indices,C,,1131,sort_indices:1131(C),0,exec5-ECOS,0.0,0.5435937927055179
25,1.0,0.179,0.179,0.179,0.179,csr_sort_indices,"['scipy', 'sparse', '_sparsetools']",,,scipy.sparse._sparsetools.csr_sort_indices,0,exec5-ECOS,0.5435937927055179,0.5435937927055179
26,5/1,0.004,0.001,0.156,0.156,__call__,C,,42,__call__:42(C),0,exec5-ECOS,0.012147347323028334,0.473746545598105
27,1.0,0.0,0.0,0.152,0.152,matmul,C,,61,matmul:61(C),0,exec5-ECOS,0.0,0.4615991982750766
28,20/16,0.001,0.0,0.091,0.006,__init__,C,,126,__init__:126(C),0,exec5-ECOS,0.0030368368307570836,0.2763521515988946
29,10.0,0.0,0.0,0.088,0.009,__getitem__,C,,32,__getitem__:32(C),0,exec5-ECOS,0.0,0.2672416411066233
30,10.0,0.0,0.0,0.088,0.009,_get_submatrix,C,,777,_get_submatrix:777(C),0,exec5-ECOS,0.0,0.2672416411066233
31,8.0,0.0,0.0,0.088,0.011,_get_sliceXslice,C,,649,_get_sliceXslice:649(C),0,exec5-ECOS,0.0,0.2672416411066233
32,417/406,0.023,0.0,0.087,0.0,implement_array_function,"['numpy', 'core', '_multiarray_umath']",,,numpy.core._multiarray_umath.implement_array_function,0,exec5-ECOS,0.06984724710741291,0.26420480427586623
33,3.0,0.023,0.008,0.087,0.029,reshape,C,,198,reshape:198(C),0,exec5-ECOS,0.06984724710741291,0.26420480427586623
34,6.0,0.0,0.0,0.077,0.013,__matmul__,C,,556,__matmul__:556(C),0,exec5-ECOS,0.0,0.2338364359682954
35,6.0,0.0,0.0,0.077,0.013,new_method,C,,27,new_method:27(C),0,exec5-ECOS,0.0,0.2338364359682954
36,6.0,0.002,0.0,0.077,0.013,__mul__,C,,453,__mul__:453(C),0,exec5-ECOS,0.006073673661514167,0.2338364359682954
37,9.0,0.075,0.008,0.075,0.008,get_csr_submatrix,"['scipy', 'sparse', '_sparsetools']",,,scipy.sparse._sparsetools.get_csr_submatrix,0,exec5-ECOS,0.22776276230678122,0.22776276230678122
38,8.0,0.064,0.008,0.064,0.008,coo_tocsr,"['scipy', 'sparse', '_sparsetools']",,,scipy.sparse._sparsetools.coo_tocsr,0,exec5-ECOS,0.19435755716845335,0.19435755716845335
39,4.0,0.0,0.0,0.058,0.015,<lambda>,C,,37,<lambda>:37(C),0,exec5-ECOS,0.0,0.17613653618391084
40,2.0,0.0,0.0,0.057,0.029,get_matrix_from_tensor,C,,196,get_matrix_from_tensor:196(C),0,exec5-ECOS,0.0,0.17309969935315375
41,1.0,0.003,0.003,0.057,0.057,vstack,C,,470,vstack:470(C),0,exec5-ECOS,0.00911051049227125,0.17309969935315375
42,5.0,0.0,0.0,0.056,0.011,_mul_sparse_matrix,C,,494,_mul_sparse_matrix:494(C),0,exec5-ECOS,0.0,0.17006286252239666
43,2.0,0.017,0.008,0.054,0.027,bmat,C,,504,bmat:504(C),0,exec5-ECOS,0.05162622612287042,0.16398918886088248
44,20.0,0.0,0.0,0.053,0.003,_check,C,,265,_check:265(C),0,exec5-ECOS,0.0,0.1609523520301254
45,164.0,0.052,0.0,0.052,0.0,reduce,numpy.ufunc,,,reduce(numpy.ufunc),0,exec5-ECOS,0.1579155151993683,0.1579155151993683
46,2.0,0.051,0.025,0.051,0.025,sort,numpy.ndarray,,,sort(numpy.ndarray),0,exec5-ECOS,0.15487867836861124,0.15487867836861124
47,2.0,0.0,0.0,0.05,0.025,tocsr,C,,372,tocsr:372(C),0,exec5-ECOS,0.0,0.15184184153785418
48,2.0,0.002,0.001,0.045,0.023,reshape,C,,86,reshape:86(C),0,exec5-ECOS,0.006073673661514167,0.13665765738406874
49,1.0,0.0,0.0,0.045,0.045,unique,<__array_function__ internals>,,2,unique:2(<__array_function__ internals>),0,exec5-ECOS,0.0,0.13665765738406874
50,1.0,0.001,0.001,0.045,0.045,unique,C,,149,unique:149(C),0,exec5-ECOS,0.0030368368307570836,0.13665765738406874
51,1.0,0.007,0.007,0.044,0.044,_unique1d,C,,309,_unique1d:309(C),0,exec5-ECOS,0.021257857815299583,0.13362082055331165
52,5.0,0.043,0.009,0.043,0.009,divmod,['builtins'],,,builtins.divmod,0,exec5-ECOS,0.13058398372255456,0.13058398372255456
53,1.0,0.001,0.001,0.038,0.038,tocsc,C,,175,tocsc:175(C),0,exec5-ECOS,0.0030368368307570836,0.11539979956876915
54,678.0,0.035,0.0,0.035,0.0,array,['numpy'],,,numpy.array,0,exec5-ECOS,0.10628928907649793,0.10628928907649793
55,1.0,0.033,0.033,0.033,0.033,csr_tocsc,"['scipy', 'sparse', '_sparsetools']",,,scipy.sparse._sparsetools.csr_tocsc,0,exec5-ECOS,0.10021561541498375,0.10021561541498375
56,6.0,0.0,0.0,0.033,0.005,tocoo,C,,1009,tocoo:1009(C),0,exec5-ECOS,0.0,0.10021561541498375
