,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,function,filename,direc,line,short_name,execution_id,execution_name,tottime_perc,cumtime_perc
0,1.0,0.013,0.013,36.672,36.672,main,D,,38,main:38(D),0,exec4-SCS,0.03546292760106935,100.03819084510886
1,1.0,0.0,0.0,36.606,36.606,l_1_optimization,D,,4,l_1_optimization:4(D),0,exec4-SCS,0.0,99.85814828959573
2,1.0,0.004,0.004,36.605,36.605,solve,C,,320,solve:320(C),0,exec4-SCS,0.010911670031098261,99.85542037208795
3,1.0,0.0,0.0,36.601,36.601,_solve,C,,667,_solve:667(C),0,exec4-SCS,0.0,99.84450870205687
4,1.0,0.0,0.0,27.126,27.126,solve_via_data,C,,289,solve_via_data:289(C),0,exec4-SCS,0.0,73.99749031589286
5,1.0,0.0,0.0,27.126,27.126,solve_via_data,C,,278,solve_via_data:278(C),0,exec4-SCS,0.0,73.99749031589286
6,1.0,0.0,0.0,27.126,27.126,solve,C,,14,solve:14(C),0,exec4-SCS,0.0,73.99749031589286
7,1.0,27.126,27.126,27.126,27.126,csolve,['_scs'],,,_scs.csolve,0,exec4-SCS,73.99749031589286,73.99749031589286
8,1.0,0.0,0.0,9.474,9.474,get_problem_data,C,,412,get_problem_data:412(C),0,exec4-SCS,0.0,25.844290468656233
9,1.0,0.011,0.011,9.473,9.473,apply,C,,53,apply:53(C),0,exec4-SCS,0.030007092585520218,25.84156255114846
10,1.0,0.0,0.0,6.507,6.507,apply,C,,207,apply:207(C),0,exec4-SCS,0.0,17.750559223089095
11,1.0,0.309,0.309,5.772,5.772,apply_parameters,C,,144,apply_parameters:144(C),0,exec4-SCS,0.8429265099023407,15.74553985487479
12,1.0,3.594,3.594,5.38,5.38,reduce_problem_data_tensor,C,,61,reduce_problem_data_tensor:61(C),0,exec4-SCS,9.804135522941786,14.676196191827163
13,1.0,0.0,0.0,2.955,2.955,apply,C,,291,apply:291(C),0,exec4-SCS,0.0,8.06099623547384
14,2.0,0.028,0.014,2.954,1.477,affine,C,,58,affine:58(C),0,exec4-SCS,0.07638169021768783,8.058268317966066
