m dim,ECOS,SCS
450,2.897,0.789
1450,40.526,11.167
2450,66.786,16.274
3450,91.539,24.548
4450,101.289,41.381
5450,121.021,54.22
6450,132.699,57.608
7450,154.17,76.561
8450,165.698,65.322
9450,194.447,63.228
