,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,function,filename,direc,line,short_name,execution_id,execution_name,tottime_perc,cumtime_perc
0,1.0,0.001,0.001,1.571,1.571,main,D,,22,main:22(D),0,exec0-ECOS,0.06439150032195753,101.15904700579527
1,1.0,0.0,0.0,1.566,1.566,l_1_optimization,D,,4,l_1_optimization:4(D),0,exec0-ECOS,0.0,100.83708950418551
2,1.0,0.0,0.0,1.563,1.563,solve,C,,320,solve:320(C),0,exec0-ECOS,0.0,100.6439150032196
3,1.0,0.0,0.0,1.563,1.563,_solve,C,,667,_solve:667(C),0,exec0-ECOS,0.0,100.6439150032196
4,1.0,0.0,0.0,1.263,1.263,solve_via_data,C,,289,solve_via_data:289(C),0,exec0-ECOS,0.0,81.32646490663235
5,1.0,0.0,0.0,1.263,1.263,solve_via_data,C,,129,solve_via_data:129(C),0,exec0-ECOS,0.0,81.32646490663235
6,1.0,0.0,0.0,1.263,1.263,solve,C,,8,solve:8(C),0,exec0-ECOS,0.0,81.32646490663235
7,1.0,1.263,1.263,1.263,1.263,csolve,['_ecos'],,,_ecos.csolve,0,exec0-ECOS,81.32646490663235,81.32646490663235
8,1.0,0.0,0.0,0.299,0.299,get_problem_data,C,,412,get_problem_data:412(C),0,exec0-ECOS,0.0,19.2530585962653
9,1.0,0.0,0.0,0.294,0.294,apply,C,,53,apply:53(C),0,exec0-ECOS,0.0,18.931101094655514
10,1.0,0.0,0.0,0.2,0.2,apply,C,,83,apply:83(C),0,exec0-ECOS,0.0,12.878300064391507
11,1.0,0.012,0.012,0.175,0.175,apply_parameters,C,,144,apply_parameters:144(C),0,exec0-ECOS,0.7726980038634904,11.268512556342568
12,1.0,0.116,0.116,0.159,0.159,reduce_problem_data_tensor,C,,61,reduce_problem_data_tensor:61(C),0,exec0-ECOS,7.469414037347074,10.238248551191248
13,1.0,0.0,0.0,0.091,0.091,apply,C,,291,apply:291(C),0,exec0-ECOS,0.0,5.859626529298135
14,2.0,0.001,0.0,0.09,0.045,affine,C,,58,affine:58(C),0,exec0-ECOS,0.06439150032195753,5.795235028976178
15,2.0,0.003,0.002,0.087,0.044,get_problem_matrix,C,,289,get_problem_matrix:289(C),0,exec0-ECOS,0.1931745009658726,5.602060528010305
16,2.0,0.0,0.0,0.058,0.029,build_matrix,C,,1002,build_matrix:1002(C),0,exec0-ECOS,0.0,3.734707018673537
17,2.0,0.058,0.029,0.058,0.029,build_matrix,['_cvxcore'],,,_cvxcore.build_matrix,0,exec0-ECOS,3.734707018673537,3.734707018673537
18,1.0,0.034,0.034,0.034,0.034,<dictcomp>,C,,111,<dictcomp>:111(C),0,exec0-ECOS,2.189311010946556,2.189311010946556
19,1.0,0.001,0.001,0.023,0.023,format_constraints,C,,129,format_constraints:129(C),0,exec0-ECOS,0.06439150032195753,1.4810045074050233
20,49/38,0.0,0.0,0.021,0.001,__init__,C,,27,__init__:27(C),0,exec0-ECOS,0.0,1.3522215067611083
21,11.0,0.0,0.0,0.016,0.001,asformat,C,,294,asformat:294(C),0,exec0-ECOS,0.0,1.0302640051513205
22,6.0,0.0,0.0,0.015,0.003,tocsc,C,,330,tocsc:330(C),0,exec0-ECOS,0.0,0.9658725048293629
23,7.0,0.0,0.0,0.012,0.002,sum_duplicates,C,,1084,sum_duplicates:1084(C),0,exec0-ECOS,0.0,0.7726980038634904
24,1.0,0.0,0.0,0.011,0.011,sort_indices,C,,1131,sort_indices:1131(C),0,exec0-ECOS,0.0,0.7083065035415328
25,1.0,0.011,0.011,0.011,0.011,csr_sort_indices,"['scipy', 'sparse', '_sparsetools']",,,scipy.sparse._sparsetools.csr_sort_indices,0,exec0-ECOS,0.7083065035415328,0.7083065035415328
26,5/1,0.0,0.0,0.011,0.011,__call__,C,,42,__call__:42(C),0,exec0-ECOS,0.0,0.7083065035415328
27,1.0,0.0,0.0,0.01,0.01,matmul,C,,61,matmul:61(C),0,exec0-ECOS,0.0,0.6439150032195753
28,20/16,0.0,0.0,0.009,0.001,__init__,C,,126,__init__:126(C),0,exec0-ECOS,0.0,0.5795235028976178
29,456/445,0.002,0.0,0.008,0.0,implement_array_function,"['numpy', 'core', '_multiarray_umath']",,,numpy.core._multiarray_umath.implement_array_function,0,exec0-ECOS,0.12878300064391507,0.5151320025756603
30,3.0,0.002,0.001,0.007,0.002,reshape,C,,198,reshape:198(C),0,exec0-ECOS,0.12878300064391507,0.45074050225370277
31,6.0,0.0,0.0,0.005,0.001,__matmul__,C,,556,__matmul__:556(C),0,exec0-ECOS,0.0,0.32195750160978764
32,204/48,0.001,0.0,0.005,0.0,_compute_once,C,,59,_compute_once:59(C),0,exec0-ECOS,0.06439150032195753,0.32195750160978764
33,6.0,0.0,0.0,0.005,0.001,new_method,C,,27,new_method:27(C),0,exec0-ECOS,0.0,0.32195750160978764
34,6.0,0.0,0.0,0.005,0.001,__mul__,C,,453,__mul__:453(C),0,exec0-ECOS,0.0,0.32195750160978764
35,164.0,0.005,0.0,0.005,0.0,reduce,numpy.ufunc,,,reduce(numpy.ufunc),0,exec0-ECOS,0.32195750160978764,0.32195750160978764
36,20.0,0.0,0.0,0.005,0.0,_check,C,,265,_check:265(C),0,exec0-ECOS,0.0,0.32195750160978764
37,2.0,0.001,0.001,0.005,0.002,bmat,C,,504,bmat:504(C),0,exec0-ECOS,0.06439150032195753,0.32195750160978764
38,1.0,0.0,0.0,0.005,0.005,vstack,C,,470,vstack:470(C),0,exec0-ECOS,0.0,0.32195750160978764
39,2.0,0.0,0.0,0.005,0.002,get_matrix_from_tensor,C,,196,get_matrix_from_tensor:196(C),0,exec0-ECOS,0.0,0.32195750160978764
40,10.0,0.0,0.0,0.005,0.0,__getitem__,C,,32,__getitem__:32(C),0,exec0-ECOS,0.0,0.32195750160978764
41,10.0,0.0,0.0,0.004,0.0,_get_submatrix,C,,777,_get_submatrix:777(C),0,exec0-ECOS,0.0,0.25756600128783014
42,1.0,0.0,0.0,0.004,0.004,_construct_chain,C,,633,_construct_chain:633(C),0,exec0-ECOS,0.0,0.25756600128783014
43,2.0,0.004,0.002,0.004,0.002,standard_normal,numpy.random._generator.Generator,,,standard_normal(numpy.random._generator.Generator),0,exec0-ECOS,0.25756600128783014,0.25756600128783014
44,8.0,0.0,0.0,0.004,0.001,_get_sliceXslice,C,,649,_get_sliceXslice:649(C),0,exec0-ECOS,0.0,0.25756600128783014
45,5.0,0.0,0.0,0.004,0.001,_mul_sparse_matrix,C,,494,_mul_sparse_matrix:494(C),0,exec0-ECOS,0.0,0.25756600128783014
46,4.0,0.0,0.0,0.004,0.001,<lambda>,C,,37,<lambda>:37(C),0,exec0-ECOS,0.0,0.25756600128783014
47,8.0,0.004,0.0,0.004,0.0,coo_tocsr,"['scipy', 'sparse', '_sparsetools']",,,scipy.sparse._sparsetools.coo_tocsr,0,exec0-ECOS,0.25756600128783014,0.25756600128783014
48,6.0,0.0,0.0,0.003,0.001,build_lin_op_tree,C,,495,build_lin_op_tree:495(C),0,exec0-ECOS,0.0,0.1931745009658726
49,2.0,0.003,0.002,0.003,0.002,sort,numpy.ndarray,,,sort(numpy.ndarray),0,exec0-ECOS,0.1931745009658726,0.1931745009658726
50,19.0,0.0,0.0,0.003,0.0,make_linC_from_linPy,C,,469,make_linC_from_linPy:469(C),0,exec0-ECOS,0.0,0.1931745009658726
51,678.0,0.003,0.0,0.003,0.0,array,['numpy'],,,numpy.array,0,exec0-ECOS,0.1931745009658726,0.1931745009658726
52,1.0,0.0,0.0,0.003,0.003,unique,<__array_function__ internals>,,2,unique:2(<__array_function__ internals>),0,exec0-ECOS,0.0,0.1931745009658726
53,1.0,0.0,0.0,0.003,0.003,unique,C,,149,unique:149(C),0,exec0-ECOS,0.0,0.1931745009658726
54,1.0,0.0,0.0,0.003,0.003,stuffed_objective,C,,282,stuffed_objective:282(C),0,exec0-ECOS,0.0,0.1931745009658726
55,1.0,0.001,0.001,0.003,0.003,_unique1d,C,,309,_unique1d:309(C),0,exec0-ECOS,0.06439150032195753,0.1931745009658726
56,1.0,0.0,0.0,0.003,0.003,construct_solving_chain,C,,118,construct_solving_chain:118(C),0,exec0-ECOS,0.0,0.1931745009658726
57,9.0,0.003,0.0,0.003,0.0,get_csr_submatrix,"['scipy', 'sparse', '_sparsetools']",,,scipy.sparse._sparsetools.get_csr_submatrix,0,exec0-ECOS,0.1931745009658726,0.1931745009658726
58,2.0,0.0,0.0,0.003,0.001,tocsr,C,,372,tocsr:372(C),0,exec0-ECOS,0.0,0.1931745009658726
59,23/10,0.0,0.0,0.003,0.0,is_convex,C,,164,is_convex:164(C),0,exec0-ECOS,0.0,0.1931745009658726
60,22/9,0.0,0.0,0.003,0.0,cast_op,C,,42,cast_op:42(C),0,exec0-ECOS,0.0,0.1931745009658726
