,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,function,filename,direc,line,short_name,execution_id,execution_name,tottime_perc,cumtime_perc
0,1.0,0.011,0.011,113.722,113.722,main,D,,38,main:38(D),0,exec3-ECOS,0.009673221006718491,100.0052763023673
1,1.0,0.0,0.0,113.671,113.671,l_1_optimization,D,,4,l_1_optimization:4(D),0,exec3-ECOS,0.0,99.96042773224525
2,1.0,0.004,0.004,113.67,113.67,solve,C,,320,solve:320(C),0,exec3-ECOS,0.0035175349115339973,99.95954834851737
3,1.0,0.0,0.0,113.666,113.666,_solve,C,,667,_solve:667(C),0,exec3-ECOS,0.0,99.95603081360582
4,1.0,0.0,0.0,106.555,106.555,solve_via_data,C,,289,solve_via_data:289(C),0,exec3-ECOS,0.0,93.70273312462626
5,1.0,0.0,0.0,106.555,106.555,solve_via_data,C,,129,solve_via_data:129(C),0,exec3-ECOS,0.0,93.70273312462626
6,1.0,0.0,0.0,106.555,106.555,solve,C,,8,solve:8(C),0,exec3-ECOS,0.0,93.70273312462626
7,1.0,106.555,106.555,106.555,106.555,csolve,['_ecos'],,,_ecos.csolve,0,exec3-ECOS,93.70273312462626,93.70273312462626
8,1.0,0.0,0.0,7.111,7.111,get_problem_data,C,,412,get_problem_data:412(C),0,exec3-ECOS,0.0,6.253297688979563
9,1.0,0.009,0.009,7.11,7.11,apply,C,,53,apply:53(C),0,exec3-ECOS,0.007914453550951493,6.25241830525168
10,1.0,0.008,0.008,4.926,4.926,apply,C,,83,apply:83(C),0,exec3-ECOS,0.0070350698230679945,4.331844243554118
11,1.0,0.262,0.262,4.282,4.282,apply_parameters,C,,144,apply_parameters:144(C),0,exec3-ECOS,0.23039853670547683,3.765521122797144
12,1.0,2.675,2.675,3.952,3.952,reduce_problem_data_tensor,C,,61,reduce_problem_data_tensor:61(C),0,exec3-ECOS,2.3523514720883605,3.4753244925955893
13,1.0,0.0,0.0,2.174,2.174,apply,C,,291,apply:291(C),0,exec3-ECOS,0.0,1.9117802244187274
14,2.0,0.024,0.012,2.174,1.087,affine,C,,58,affine:58(C),0,exec3-ECOS,0.021105209469203984,1.9117802244187274
15,2.0,0.065,0.033,2.149,1.075,get_problem_matrix,C,,289,get_problem_matrix:289(C),0,exec3-ECOS,0.05715994231242746,1.88979563122164
16,2.0,0.0,0.0,1.496,0.748,build_matrix,C,,1002,build_matrix:1002(C),0,exec3-ECOS,0.0,1.3155580569137149
17,2.0,1.496,0.748,1.496,0.748,build_matrix,['_cvxcore'],,,_cvxcore.build_matrix,0,exec3-ECOS,1.3155580569137149,1.3155580569137149
18,1.0,1.01,1.01,1.01,1.01,<dictcomp>,C,,111,<dictcomp>:111(C),0,exec3-ECOS,0.8881775651623344,0.8881775651623344
19,1.0,0.019,0.019,0.595,0.595,format_constraints,C,,129,format_constraints:129(C),0,exec3-ECOS,0.016708290829786487,0.5232333180906821
20,49/38,0.004,0.0,0.499,0.013,__init__,C,,27,__init__:27(C),0,exec3-ECOS,0.0035175349115339973,0.4388124802138661
21,11.0,0.0,0.0,0.463,0.042,asformat,C,,294,asformat:294(C),0,exec3-ECOS,0.0,0.40715466601006023
22,6.0,0.0,0.0,0.386,0.064,tocsc,C,,330,tocsc:330(C),0,exec3-ECOS,0.0,0.3394421189630307
23,7.0,0.0,0.0,0.357,0.051,sum_duplicates,C,,1084,sum_duplicates:1084(C),0,exec3-ECOS,0.0,0.3139399908544092
24,1.0,0.0,0.0,0.344,0.344,sort_indices,C,,1131,sort_indices:1131(C),0,exec3-ECOS,0.0,0.3025080023919237
25,1.0,0.344,0.344,0.344,0.344,csr_sort_indices,"['scipy', 'sparse', '_sparsetools']",,,scipy.sparse._sparsetools.csr_sort_indices,0,exec3-ECOS,0.3025080023919237,0.3025080023919237
26,5/1,0.008,0.002,0.275,0.275,__call__,C,,42,__call__:42(C),0,exec3-ECOS,0.0070350698230679945,0.24183052516796233
27,1.0,0.0,0.0,0.267,0.267,matmul,C,,61,matmul:61(C),0,exec3-ECOS,0.0,0.23479545534489432
28,417/406,0.063,0.0,0.22,0.001,implement_array_function,"['numpy', 'core', '_multiarray_umath']",,,numpy.core._multiarray_umath.implement_array_function,0,exec3-ECOS,0.05540117485666045,0.19346442013436985
29,3.0,0.046,0.015,0.168,0.056,reshape,C,,198,reshape:198(C),0,exec3-ECOS,0.04045165148264097,0.14773646628442788
30,8.0,0.162,0.02,0.162,0.02,coo_tocsr,"['scipy', 'sparse', '_sparsetools']",,,scipy.sparse._sparsetools.coo_tocsr,0,exec3-ECOS,0.14246016391712688,0.14246016391712688
31,20/16,0.002,0.0,0.16,0.01,__init__,C,,126,__init__:126(C),0,exec3-ECOS,0.0017587674557669986,0.1407013964613599
