,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,function,filename,direc,line,short_name,execution_id,execution_name,tottime_perc,cumtime_perc
0,1.0,0.02,0.02,66.266,66.266,main,D,,38,main:38(D),0,exec6-SCS,0.03018594542381067,100.0150929727119
1,1.0,0.0,0.0,66.157,66.157,l_1_optimization,D,,4,l_1_optimization:4(D),0,exec6-SCS,0.0,99.8505795701521
2,1.0,0.006,0.006,66.156,66.156,solve,C,,320,solve:320(C),0,exec6-SCS,0.009055783627143201,99.84907027288094
3,1.0,0.0,0.0,66.15,66.15,_solve,C,,667,_solve:667(C),0,exec6-SCS,0.0,99.84001448925379
4,1.0,0.0,0.0,53.842,53.842,solve_via_data,C,,289,solve_via_data:289(C),0,exec6-SCS,0.0,81.2635836754407
5,1.0,0.0,0.0,53.842,53.842,solve_via_data,C,,278,solve_via_data:278(C),0,exec6-SCS,0.0,81.2635836754407
6,1.0,0.0,0.0,53.842,53.842,solve,C,,14,solve:14(C),0,exec6-SCS,0.0,81.2635836754407
7,1.0,53.842,53.842,53.842,53.842,csolve,['_scs'],,,_scs.csolve,0,exec6-SCS,81.2635836754407,81.2635836754407
8,1.0,0.0,0.0,12.307,12.307,get_problem_data,C,,412,get_problem_data:412(C),0,exec6-SCS,0.0,18.574921516541895
9,1.0,0.016,0.016,12.306,12.306,apply,C,,53,apply:53(C),0,exec6-SCS,0.024148756339048533,18.5734122192707
10,1.0,0.0,0.0,8.131,8.131,apply,C,,207,apply:207(C),0,exec6-SCS,0.0,12.272096112050226
11,1.0,0.481,0.481,7.071,7.071,apply_parameters,C,,144,apply_parameters:144(C),0,exec6-SCS,0.7259719874426465,10.67224100458826
12,1.0,4.535,4.535,6.48,6.48,reduce_problem_data_tensor,C,,61,reduce_problem_data_tensor:61(C),0,exec6-SCS,6.8446631248490695,9.780246317314658
13,1.0,0.0,0.0,4.158,4.158,apply,C,,291,apply:291(C),0,exec6-SCS,0.0,6.275658053610238
14,2.0,0.057,0.029,4.157,2.078,affine,C,,58,affine:58(C),0,exec6-SCS,0.08602994445786041,6.274148756339047
15,2.0,0.118,0.059,4.098,2.049,get_problem_matrix,C,,289,get_problem_matrix:289(C),0,exec6-SCS,0.1780970780004829,6.185100217338806
16,2.0,0.0,0.0,3.026,1.513,build_matrix,C,,1002,build_matrix:1002(C),0,exec6-SCS,0.0,4.567133542622553
17,2.0,3.025,1.513,3.025,1.513,build_matrix,['_cvxcore'],,,_cvxcore.build_matrix,0,exec6-SCS,4.565624245351364,4.565624245351364
18,1.0,1.538,1.538,1.538,1.538,<dictcomp>,C,,111,<dictcomp>:111(C),0,exec6-SCS,2.3212992030910407,2.3212992030910407
19,1.0,0.007,0.007,1.018,1.018,_prepare_data_and_inv_data,C,,183,_prepare_data_and_inv_data:183(C),0,exec6-SCS,0.010565080898333735,1.5364646220719629
20,1.0,0.033,0.033,1.012,1.012,format_constraints,C,,129,format_constraints:129(C),0,exec6-SCS,0.0498068099492876,1.5274088384448197
21,46/35,0.006,0.0,0.839,0.024,__init__,C,,27,__init__:27(C),0,exec6-SCS,0.009055783627143201,1.2663004105288576
22,11.0,0.0,0.0,0.773,0.07,asformat,C,,294,asformat:294(C),0,exec6-SCS,0.0,1.1666867906302825
23,6.0,0.0,0.0,0.636,0.106,tocsc,C,,330,tocsc:330(C),0,exec6-SCS,0.0,0.9599130644771793
24,7.0,0.0,0.0,0.593,0.085,sum_duplicates,C,,1084,sum_duplicates:1084(C),0,exec6-SCS,0.0,0.8950132818159863
25,1.0,0.0,0.0,0.565,0.565,sort_indices,C,,1131,sort_indices:1131(C),0,exec6-SCS,0.0,0.8527529582226513
26,1.0,0.565,0.565,0.565,0.565,csr_sort_indices,"['scipy', 'sparse', '_sparsetools']",,,scipy.sparse._sparsetools.csr_sort_indices,0,exec6-SCS,0.8527529582226513,0.8527529582226513
27,5/1,0.013,0.003,0.481,0.481,__call__,C,,42,__call__:42(C),0,exec6-SCS,0.019620864525476935,0.7259719874426465
