,ncalls,tottime,percall_tottime,cumtime,percall_cumtime,function,filename,direc,line,short_name,execution_id,execution_name,tottime_perc,cumtime_perc
0,1.0,0.016,0.016,57.676,57.676,main,D,,38,main:38(D),0,exec6-SCS,0.02774502323645696,100.01387251161822
1,1.0,0.0,0.0,57.608,57.608,l_1_optimization,D,,4,l_1_optimization:4(D),0,exec6-SCS,0.0,99.89595616286327
2,1.0,0.005,0.005,57.607,57.607,solve,C,,320,solve:320(C),0,exec6-SCS,0.008670319761392799,99.894222098911
3,1.0,0.0,0.0,57.603,57.603,_solve,C,,667,_solve:667(C),0,exec6-SCS,0.0,99.88728584310188
4,1.0,0.0,0.0,49.534,49.534,solve_via_data,C,,289,solve_via_data:289(C),0,exec6-SCS,0.0,85.89512381216619
5,1.0,0.0,0.0,49.534,49.534,solve_via_data,C,,278,solve_via_data:278(C),0,exec6-SCS,0.0,85.89512381216619
6,1.0,0.0,0.0,49.534,49.534,solve,C,,14,solve:14(C),0,exec6-SCS,0.0,85.89512381216619
7,1.0,49.534,49.534,49.534,49.534,csolve,['_scs'],,,_scs.csolve,0,exec6-SCS,85.89512381216619,85.89512381216619
8,1.0,0.0,0.0,8.068,8.068,get_problem_data,C,,412,get_problem_data:412(C),0,exec6-SCS,0.0,13.990427966983422
9,1.0,0.011,0.011,8.067,8.067,apply,C,,53,apply:53(C),0,exec6-SCS,0.019074703475064157,13.988693903031143
10,1.0,0.0,0.0,5.673,5.673,apply,C,,207,apply:207(C),0,exec6-SCS,0.0,9.83734480127627
11,1.0,0.305,0.305,5.01,5.01,apply_parameters,C,,144,apply_parameters:144(C),0,exec6-SCS,0.5288895054449607,8.687660400915584
12,1.0,3.382,3.382,4.631,4.631,reduce_problem_data_tensor,C,,61,reduce_problem_data_tensor:61(C),0,exec6-SCS,5.86460428660609,8.03045016300201
13,1.0,0.0,0.0,2.383,2.383,apply,C,,291,apply:291(C),0,exec6-SCS,0.0,4.132274398279808
14,2.0,0.026,0.013,2.382,1.191,affine,C,,58,affine:58(C),0,exec6-SCS,0.045085662759242556,4.130540334327529
15,2.0,0.075,0.038,2.355,1.177,get_problem_matrix,C,,289,get_problem_matrix:289(C),0,exec6-SCS,0.13005479642089196,4.083720607616009
16,2.0,0.0,0.0,1.606,0.803,build_matrix,C,,1002,build_matrix:1002(C),0,exec6-SCS,0.0,2.784906707359367
17,2.0,1.606,0.803,1.606,0.803,build_matrix,['_cvxcore'],,,_cvxcore.build_matrix,0,exec6-SCS,2.784906707359367,2.784906707359367
18,1.0,0.962,0.962,0.962,0.962,<dictcomp>,C,,111,<dictcomp>:111(C),0,exec6-SCS,1.6681695220919743,1.6681695220919743
19,1.0,0.005,0.005,0.644,0.644,_prepare_data_and_inv_data,C,,183,_prepare_data_and_inv_data:183(C),0,exec6-SCS,0.008670319761392799,1.1167371852673924
20,1.0,0.024,0.024,0.638,0.638,format_constraints,C,,129,format_constraints:129(C),0,exec6-SCS,0.04161753485468544,1.106332801553721
21,46/35,0.003,0.0,0.588,0.017,__init__,C,,27,__init__:27(C),0,exec6-SCS,0.00520219185683568,1.0196296039397932
22,11.0,0.0,0.0,0.536,0.049,asformat,C,,294,asformat:294(C),0,exec6-SCS,0.0,0.9294582784213081
23,6.0,0.0,0.0,0.46,0.077,tocsc,C,,330,tocsc:330(C),0,exec6-SCS,0.0,0.7976694180481376
24,7.0,0.0,0.0,0.422,0.06,sum_duplicates,C,,1084,sum_duplicates:1084(C),0,exec6-SCS,0.0,0.7317749878615523
25,1.0,0.0,0.0,0.406,0.406,sort_indices,C,,1131,sort_indices:1131(C),0,exec6-SCS,0.0,0.7040299646250954
26,1.0,0.406,0.406,0.406,0.406,csr_sort_indices,"['scipy', 'sparse', '_sparsetools']",,,scipy.sparse._sparsetools.csr_sort_indices,0,exec6-SCS,0.7040299646250954,0.7040299646250954
27,5/1,0.008,0.002,0.288,0.288,__call__,C,,42,__call__:42(C),0,exec6-SCS,0.01387251161822848,0.4994104182562252
28,1.0,0.0,0.0,0.28,0.28,matmul,C,,61,matmul:61(C),0,exec6-SCS,0.0,0.48553790663799684
29,401/390,0.047,0.0,0.21,0.001,implement_array_function,"['numpy', 'core', '_multiarray_umath']",,,numpy.core._multiarray_umath.implement_array_function,0,exec6-SCS,0.0815010057570923,0.36415342997849753
30,3.0,0.056,0.019,0.205,0.068,reshape,C,,198,reshape:198(C),0,exec6-SCS,0.09710758132759935,0.3554831102171047
31,20/16,0.002,0.0,0.196,0.012,__init__,C,,126,__init__:126(C),0,exec6-SCS,0.00346812790455712,0.3398765346465977
32,8.0,0.159,0.02,0.159,0.02,coo_tocsr,"['scipy', 'sparse', '_sparsetools']",,,scipy.sparse._sparsetools.coo_tocsr,0,exec6-SCS,0.275716168412291,0.275716168412291
33,6.0,0.0,0.0,0.136,0.023,__matmul__,C,,556,__matmul__:556(C),0,exec6-SCS,0.0,0.23583269750988414
34,6.0,0.0,0.0,0.136,0.023,new_method,C,,27,new_method:27(C),0,exec6-SCS,0.0,0.23583269750988414
35,6.0,0.004,0.001,0.136,0.023,__mul__,C,,453,__mul__:453(C),0,exec6-SCS,0.00693625580911424,0.23583269750988414
36,2.0,0.133,0.066,0.133,0.066,sort,numpy.ndarray,,,sort(numpy.ndarray),0,exec6-SCS,0.23063050565304846,0.23063050565304846
37,2.0,0.0,0.0,0.123,0.061,tocsr,C,,372,tocsr:372(C),0,exec6-SCS,0.0,0.21328986613026285
38,4.0,0.0,0.0,0.118,0.029,<lambda>,C,,37,<lambda>:37(C),0,exec6-SCS,0.0,0.20461954636887006
39,1.0,0.006,0.006,0.114,0.114,vstack,C,,470,vstack:470(C),0,exec6-SCS,0.01040438371367136,0.19768329055975584
40,5.0,0.0,0.0,0.114,0.023,_mul_sparse_matrix,C,,494,_mul_sparse_matrix:494(C),0,exec6-SCS,0.0,0.19768329055975584
41,1.0,0.0,0.0,0.112,0.112,unique,<__array_function__ internals>,,2,unique:2(<__array_function__ internals>),0,exec6-SCS,0.0,0.1942151626551987
42,1.0,0.002,0.002,0.112,0.112,unique,C,,149,unique:149(C),0,exec6-SCS,0.00346812790455712,0.1942151626551987
43,1.0,0.016,0.016,0.11,0.11,_unique1d,C,,309,_unique1d:309(C),0,exec6-SCS,0.02774502323645696,0.1907470347506416
44,2.0,0.044,0.022,0.108,0.054,bmat,C,,504,bmat:504(C),0,exec6-SCS,0.07629881390025663,0.18727890684608445
45,20.0,0.0,0.0,0.104,0.005,_check,C,,265,_check:265(C),0,exec6-SCS,0.0,0.18034265103697023
46,164.0,0.104,0.001,0.104,0.001,reduce,numpy.ufunc,,,reduce(numpy.ufunc),0,exec6-SCS,0.18034265103697023,0.18034265103697023
47,8.0,0.0,0.0,0.102,0.013,__getitem__,C,,32,__getitem__:32(C),0,exec6-SCS,0.0,0.17687452313241311
48,8.0,0.0,0.0,0.101,0.013,_get_submatrix,C,,777,_get_submatrix:777(C),0,exec6-SCS,0.0,0.17514045918013454
49,6.0,0.0,0.0,0.101,0.017,_get_sliceXslice,C,,649,_get_sliceXslice:649(C),0,exec6-SCS,0.0,0.17514045918013454
50,8.0,0.101,0.013,0.101,0.013,get_csr_submatrix,"['scipy', 'sparse', '_sparsetools']",,,scipy.sparse._sparsetools.get_csr_submatrix,0,exec6-SCS,0.17514045918013454,0.17514045918013454
51,5.0,0.099,0.02,0.099,0.02,divmod,['builtins'],,,builtins.divmod,0,exec6-SCS,0.17167233127557743,0.17167233127557743
52,643.0,0.085,0.0,0.085,0.0,array,['numpy'],,,numpy.array,0,exec6-SCS,0.1473954359436776,0.1473954359436776
53,1.0,0.002,0.002,0.076,0.076,tocsc,C,,175,tocsc:175(C),0,exec6-SCS,0.00346812790455712,0.13178886037317053
54,2.0,0.0,0.0,0.074,0.037,get_matrix_from_tensor,C,,196,get_matrix_from_tensor:196(C),0,exec6-SCS,0.0,0.12832073246861342
55,1.0,0.069,0.069,0.069,0.069,csr_tocsc,"['scipy', 'sparse', '_sparsetools']",,,scipy.sparse._sparsetools.csr_tocsc,0,exec6-SCS,0.11965041270722064,0.11965041270722064
56,2.0,0.003,0.002,0.069,0.035,reshape,C,,86,reshape:86(C),0,exec6-SCS,0.00520219185683568,0.11965041270722064
